sale_id,sale_date,product,region,amount
S001,2026-09-01,Laptop,South,75000
S002,2026-09-01,Mobile,South,25000
S003,2026-09-01,Tablet,North,30000
S004,2026-09-02,Monitor,South,18000
S005,2026-09-02,Laptop,North,82000
S006,2026-09-02,Mobile,East,27000
S007,2026-09-03,Tablet,South,35000
S008,2026-09-03,Laptop,West,90000
S009,2026-09-03,Monitor,North,22000
S010,2026-09-04,Mobile,South,28000
S011,2026-09-04,Laptop,East,78000
S012,2026-09-04,Tablet,West,32000
S013,2026-09-05,Monitor,South,20000
S014,2026-09-05,Laptop,North,88000
S015,2026-09-05,Mobile,West,31000
S016,2026-09-06,Tablet,East,36000
S017,2026-09-06,Laptop,South,95000
S018,2026-09-06,Monitor,West,24000
S019,2026-09-07,Mobile,North,29000
S020,2026-09-07,Laptop,South,85000
